name,formatted_address,formatted_phone_number,website
Joey D's Pizza,"279 Co Rd 669, Metuchen, NJ 08840, USA",(732) 494-3900,http://joeydspizza.com/
Mia's Garden,"287 Central Ave, Metuchen, NJ 08840, USA",(732) 548-7638,http://miasgarden-nj.com/
Rio of Japan,"257 Central Ave, Metuchen, NJ 08840, USA",(732) 767-1120,https://ordering.app/rioofjapan/
Hatch44 Cafe,"140 Durham Ave, Metuchen, NJ 08840, USA",(732) 662-7200,http://hatch44cafe.com/
Lola Latin Bistro,"87 Central Ave, Metuchen, NJ 08840, USA",(732) 548-5652,http://www.lolalatinbistro.com/
Scoop Express Snack Bar,"215 Durham Ave, Metuchen, NJ 08840, USA",(908) 403-4404,
Friendly's,"550 Middlesex Ave, Metuchen, NJ 08840, USA",(732) 549-4790,https://www.friendlysrestaurants.com/restaurants/friendlys-metuchen-08840/?id=7737&utm_source=G&utm_medium=local&utm_campaign=Friendly's
Burgerim,"656-660 Middlesex Ave, Metuchen, NJ 08840, USA",(732) 243-9907,https://www.burgerim.com/our-locations/addison/
The Kabab Factory,"567 Middlesex Ave, Metuchen, NJ 08840, USA",(732) 662-5800,http://thekababfactory.net/
La Rosa Chicken & Grill - Metuchen,"660 Middlesex Ave, Metuchen, NJ 08840, USA",(732) 662-9168,https://orderahead.larosagrill.com/location/676973?fulfillment=pickup&lat=40.5431598&lng=-74.3632049
Asian BBQ,"645 Middlesex Ave, Metuchen, NJ 08840, USA",(732) 515-6180,https://www.wholefoodsmarket.com/stores/mtc
Metuchen Pizza,"645 Middlesex Ave, Metuchen, NJ 08840, USA",(732) 515-6180,https://www.wholefoodsmarket.com/stores/mtc
2nd work Haileys Harp and Pub Metuchen,"Haileys Harp and Pub, Metuchen, NJ 08840, USA",,
Chipotle Mexican Grill,"349 Lake Ave, Metuchen, NJ 08840, USA",(732) 662-9158,https://locations.chipotle.com/nj/metuchen/349-lake-ave?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Jersey Mike's Subs,"349 Lake Ave Suite115, Metuchen, NJ 08840, USA",(732) 662-4841,https://www.jerseymikes.com/1085
Metuchen Diner,"338 Lake Ave, Metuchen, NJ 08840, USA",(848) 260-0527,
Comida Fresca,"645 Middlesex Ave, Metuchen, NJ 08840, USA",(732) 515-6180,https://www.wholefoodsmarket.com/stores/mtc
La Rosa's Pizza Metuchen,"335 Lake Ave, Metuchen, NJ 08840, USA",(732) 549-6505,http://larosametuchen.com/
Frutta Bowls,"333 Lake Ave #1804, Metuchen, NJ 08840, USA",(732) 902-2695,http://www.fruttabowls.com/
Sumiyaki Japan,"329 Lake Ave, Metuchen, NJ 08840, USA",(732) 662-1111,http://www.sumiyakijapan.com/
